,documents,documents_processed,document_tokens,first_100_letters,documents_processed_2,url
0,,,,"python tokens, Keywords, Identifiers, Literals, Punctuations, Operators ",,
1,,,,Python keywords,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Constituent_structure_analysis_English_sentence.svg/330px-Constituent_structure_analysis_English_sentence.svg.png
2,,,,"python data types (Numeric, Boolean, String, Datetime)",,
3,,,,Arithmatic Operation,,
4,,,,floor function,,
5,,,,ceiling function,,
6,,,,Understanding Variable,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Pointers.svg/1200px-Pointers.svg.png
7,,,,commenting multiple lines in colab,,
8,,,,Perfect number,,https://upload.wikimedia.org/wikipedia/commons/6/66/Perfect_number_Cuisenaire_rods_6.png
9,,,,To show a float upto two decimal places,,
10,,,,To get the absolute value,,
11,,,,The del keyword in python is primarily used to delete objects in Python,,
12,,,,order of precedence in python,,
13,,,,An application or app or software or model is nothing but a soft machine (a machinery products).,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Function_machine2.svg/220px-Function_machine2.svg.png
14,,,,Four basic answers of any question,,
15,,,,"
logical resoning",,
16,,,,pprint module,,
17,,,,Understanding String,,
18,,,,to print a new line,,
19,,,,for color print,,
20,,,,Grabbing the element by index ,,
21,,,,Basics of String Slicing,,
22,,,,concatenate strings,,
23,,,,String functions,,
24,,,,String methods ,,
25,,,,way to embed expressions inside string literals,,
26,,,,String duplication,,
27,,,,Taking user's input,,
28,,,,String matching,,
29,,,,Understanding List,,
30,,,,List functions,,
31,,,,List methods,,
32,,,,Nested List,,
33,,,,Range function to get a sequence list of numbers. ,,
34,,,,Main Subjects of Data Science Stream,,
35,,,,Main Modules of Coding,,
36,,,,Main Modules of Data Structures,,
37,,,,Main Modules of Mathematics,,
38,,,,Main Modules of Artificial Intelligence,,
39,,,,Main Modules of Business Intelligence,,
40,,,,Main Modules of Computer Engineering,,
41,,,,Main Topics of Python,,
42,,,,Main Topics of Analytics Framework,,
43,,,,Main Topics of Mathematics,,
44,,,,Main Topics of Machine Learning,,
45,,,,Main Topics of Deep Learning,,
46,,,,Main Topics of Industry Insights,,
47,,,,Main Topics of Data Engineering,,
48,,,,"Subtopics of Integers, Floats and Booleans",,
49,,,,Understanding Tuples Basics,,
50,,,,Set basics,,
51,,,,Set methods,,
52,,,,Dictionary Basics,,
53,,,,Dictionary methods,,
54,,,,Dictionary operations,,
55,,,,Subtopics of Strings,,
56,,,,Subtopics of  Lists,,
57,,,,"Subtopics of Tuples, Sets and Dictionaries",,
58,,,,"Subtopics of Statements, Indentation and Conditionals",,
59,,,,Subtopics of Loops and Iterations,,
60,,,,Subtopics of List comprehension,,
61,,,,Subtopics of Functions and Methods,,
62,,,,Subtopics of Production Grade Programming,,
63,,,,Subtopics of Competitive Coding,,
64,,,,"Assignment statement, conditional statement",,
65,,,,Understanding Expression,,
66,,,,Multi-line statements ,,
67,,,,Understanding Comments,,
68,,,,Auto indentation,,
69,,,,"""truthy"" and ""falsy""",,
70,,,,Subtopics of Numpy,,
71,,,,Subtopics of Pandas,,
72,,,,Subtopics of Data Wrangling,,
73,,,,Subtopics of Data Visualization,,
74,,,,Subtopics of Excel,,
75,,,,Subtopics of Tableau,,
76,,,,Subtopics of Business KPI,,
77,,,,Subtopics of SQL,,
78,,,,Subtopics of Calculus,,
79,,,,Subtopics of Vector Algebra,,
80,,,,Subtopics of Matrix Algebra,,
81,,,,Subtopics of Probability Theory,,
82,,,,Understanding Loops,,
83,,,,Understanding the main loops of python,,
84,,,,Iterate means utter repeatedly.,,
85,,,,Enumerate function ,,
86,,,,"break, continue, and pass statements in our loops add additional functionality",,
87,,,,Calculating program execution time,,
88,,,,Subtopics of Summarizing Data,,
89,,,,Subtopics of Random Variables,,
90,,,,Subtopics of Discrete Distributions,,
91,,,,Subtopics of Continuous Distributions,,
92,,,,Subtopics of Joint Distributions,,
93,,,,Subtopics of Sampling & Statistical Inference,,
94,,,,Subtopics of Confidence Intervals,,
95,,,,Subtopics of Hypothesis Testing,,
96,,,,Subtopics of Linear Regression,,
97,,,,Subtopics of Bias variance tradeoff,,
98,,,,Subtopics of Regularized Linear Regression,,
99,,,,Understanding list comprehension ,,
100,,,,Set Comprehension,,
101,,,,Dictionary comprehension,,
102,,,,Function range and domain,,
103,,,,Subtopics of Cross validation and hyperparameter tuning,,
104,,,,Subtopics of Logistic regression,,
105,,,,Subtopics of Decision Trees,,
106,,,,Subtopics of Ensembles of decision trees,,
107,,,,Subtopics of Model Explainability,,
108,,,,Subtopics of k-nearest neighbors,,
109,,,,Subtopics of Naive Bayes Classifier,,
110,,,,Subtopics of Support Vector Machines,,
111,,,,Subtopics of General Modeling Techniques,,
112,,,,Subtopics of K-means clustering,,
113,,,,Subtopics of Hierarchical clustering,,
114,,,,Subtopics of Principal Component Analysis,,
115,,,,Subtopics of Anomaly Detection,,
116,,,,Subtopics of Natural Language Processing ,,
117,,,,Subtopics of Topic modeling,,
118,,,,Subtopics of Recommender Systems,,
119,,,,"Understanding Functions, Model and  Environment",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Nitrogen_Cycle.jpg/400px-Nitrogen_Cycle.jpg
120,,,,Defining a function,,
121,,,,Functions details,,
122,,,,Function and method,,
123,,,,Global variable,,
124,,,,Subtopics of Time Series Analysis,,
125,,,,Subtopics of Neural Networks,,
126,,,,Subtopics of Deep Neural Networks,,
127,,,,Subtopics of Improving Deep Neural Networks,,
128,,,,Subtopics of Structuring ML Projects,,
129,,,,Subtopics of Convolutional Neural Networks,,
130,,,,Subtopics of Recurrent Neural Network,,
131,,,,Subtopics of Guesstimate,,
132,,,,Subtopics of Case Study-ML in Heathcare,,
133,,,,Subtopics of Case Study-ML in Fraud risk analytics,,
134,,,,Subtopics of Case Study-ML in Credit Risk,,
135,,,,Subtopics of Case Study-ML in E-commerce,,
136,,,,Subtopics of Linux basics and terminal commands,,
137,,,,Subtopics of Python modules and project setup,,
138,,,,Understanding Production Grade Programming,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Operating_system_placement_%28software%29.svg/800px-Operating_system_placement_%28software%29.svg.png
139,,,,Object Oriented Programming ,,
140,,,,Understanding Attribute,,
141,,,,Defining a class,,
142,,,,Understanding Polymorphism,,
143,,,,Exception handling   ,,
144,,,,Single Underscore in the variable name,,
145,,,,"create, read, update and delete",,
146,,,,Double Leading and Trailing Underscore in the variable name,,
147,,,,Subtopics of Version control-Git,,
148,,,,Subtopics of API basics with flask,,
149,,,,Subtopics of FastAPI,,
150,,,,Subtopics of Docker,,
151,,,,Subtopics of Microservices and streamlit,,
152,,,,Subtopics of ML Lifecycle,,
153,,,,Understanding Competitive coding,,
154,,,,google colab notebook,,
155,,,,Code editor,,
156,,,,Compiler,,
157,,,,Interpreter ,,
158,,,,IDLE,,
159,,,,Anaconda and python,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Pratik_jain_dahod_python.JPG/1200px-Pratik_jain_dahod_python.JPG
160,,,,"
Arthur Samuel and Geoffrey Everest Hinton",,
161,,,,"Cloud computing or Cluster computing, Cloud Storage",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Cloud_computing_types.svg/395px-Cloud_computing_types.svg.png
162,,,,Types of computer languages,,
163,,,,Jupyter notebook,,
164,,,,"
Notebook documents",,
165,,,,collaboration site,,
166,,,,Understanding of language,,
167,,,,Subtopics of General Knowledge for a Data Scientist,,
168,,,,Subtopics of Cloud Computing,,
169,,,,Subtopics of MLOps-MLFlow,,
170,,,,Subtopics of PySpark,,
171,,,,Subtopics of Airflow,,
172,,,,Understanding Library,,
173,,,,Understanding Package,,
174,,,,Understanding Module,,
175,,,,Writing softmax function with numpy (used in deep learning),,
176,,,,Modular programming ,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Flexible_Workplace_Variability.jpg/275px-Flexible_Workplace_Variability.jpg
177,,,,N-dimensional array,,
178,,,,Creating a two-dimensional array ,,
179,,,,attributes of numpy array,,
180,,,,Advantages of numpy array ,,
181,,,,Creating ndarray,,
182,,,,Defining Array size,,
183,,,,Normalizing rows (used in deep learning algorithm),,
184,,,,Conversion of list and tuple to ndarray,,
185,,,,Indexing and Slicing of ndarray,,
186,,,,"
Grabbing element by index of 2D array",,
187,,,,Array Manipulation,,
188,,,,Important functions in numpy,,
189,,,,Difference between view and copy in numpy,,
190,,,,Basic Operations & Functions in numpy,,
191,,,,Exponentiation of vectors (used in deep learning algorithm),,
192,,,,Basics of Pandas Dataframe,,
193,,,,Difference between list and numpy array,,
194,,,,Rows and columns of pandas dataframe,,
195,,,,Pandas series,,
196,,,,Convertion of numpy array to pandas dataframe,,
197,,,,For uploading any file from local computer to the colab session,,
198,,,,Methods and attributes of pandas DataFrame ,,
199,,,,Connecting google drive to colab notebook,,
200,,,,Converting a csv file to pandas DataFrame,,
201,,,,Creating an empty csv file on a specific folder,,
202,,,,Writing data in a csv file,,
203,,,,Appending new row to an exsisting csv file,,
204,,,,Editing a csv file,,
205,,,,Excel file with multiple worksheets,,
206,,,,Writing in a new excel file,,
207,,,,Editing in pandas df and then save them to csv/excel,,
208,,,,Slicing operation on Pandas DataFrame,,
209,,,,Slicing operation on a particular column  in Pandas DataFrame,,
210,,,,Conditional Slicing or Conditional Filtering in  Pandas DataFrame,,
211,,,,Adding new column in existing df,,
212,,,,Removing one or multiple columns,,
213,,,,Removing one or multiple rows,,
214,,,,Setting a column as row index,,
215,,,,Methods for particular column,,
216,,,,Sort values in  Pandas DataFrame,,
217,,,,Datetime operations,,
218,,,,Creating a new column with lambda function (applied on pandas series),,
219,,,,Pandas data display options,,
220,,,,Difference among and & |,,
221,,,,"Use of Unary operator, ~",,
222,,,,Another way to convert dict to df,,
223,,,,Converting pandas df to numpy array,,
224,,,,String to numeric in  Pandas DataFrame,,
225,,,,Numpy array or pandas df to matrix convertion,,
226,,,,Subtopics of computer science and machine learning,,
227,,,,Basics of Data wrangling,,
228,,,,Concatenating pandas DataFrame,,
229,,,,DataFrame merging operation through joins,,
230,,,,Groupby operation on pandas dataframe for data analysis,,
231,,,,Detailed EDA,,
232,,,,Quick EDA,,
233,,,,EDA practice,,
234,,,,Use of ast library,,
235,,,,Use of explode function,,
236,,,,Subtopics of Overview of mathematics,,
237,,,,libraries for data visualization,,
238,,,,Matplotlib library,,
239,,,,Matplotlib  pyplot function,,
240,,,,Matplotlib Line Plot,,
241,,,,Matplotlib Horizontal Bar Plot,,
242,,,,Matplotlib Box plot and Scatter Plot,,
243,,,,drawing a trend line in the scatter plot,,
244,,,,drawing horizontal or vertial lines,,
245,,,,Seaborn library,,
246,,,,"seaborn Line plot, Scatter plot, Distribution/Density Plot",,
247,,,,"seaborn Joint Distribution Plot, Heatmap, Bar Plot",,
248,,,,"seaborn Histogram, Factor Plot, Box plot",,
249,,,,10. Seaborn Pairplot,,
250,,,,Ploting directly from pandas dataframe,,
251,,,,Editing the plot area with matplotlib and seaborn,,
252,,,,Combining two plots in a single graph,,
253,,,,Saving any print output as word file in google drive,,
254,,,,saving the plot as png in google drive,,
255,,,,Excel basics,,
256,,,,Data Handling in excel,,
257,,,,Sections in excel file (top to bottom),,
258,,,,Menu Bar Tabs in excel,,
259,,,,Data types in excel,,
